Starting time	End time (optional)	Day	Playing field	Phase	Division	Group	Team 1	Team 2
18:30	18:42	06-10-2025	JP1.2	League	U7	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP3.1	League	U8	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP3.2	League	U8	League	SPAIN	ARGENTINA
18:30	18:42	06-10-2025	JP3.3	League	U8	League	HOLLAND	PORTUGAL
18:30	18:42	06-10-2025	JP1.1	League	u10	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP1.3	League	u10	League	SPAIN	ARGENTINA
18:30	18:42	06-10-2025	JP1.4	League	u10	League	HOLLAND	PORTUGAL
18:30	18:42	06-10-2025	JP2.1	League	u14	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP2.2	League	u14	League	SPAIN	BRAZIL
18:30	18:42	06-10-2025	JP2.3	League	u14	League	HOLLAND	ARGENTINA
18:30	18:42	06-10-2025	JP4.1	League	u12	League	IRELAND	GERMANY
18:30	18:42	06-10-2025	JP4.2	League	u12	League	SPAIN	ARGENTINA
18:30	18:42	06-10-2025	JP4.3	League	u12	League	HOLLAND	PORTUGAL
18:45	18:57	06-10-2025	JP1.2	League	U7	League	SPAIN	HOLLAND
18:45	18:57	06-10-2025	JP3.1	League	U8	League	BRAZIL	ENGLAND
18:45	18:57	06-10-2025	JP3.2	League	U8	League	FRANCE	ITALY
18:45	18:57	06-10-2025	JP3.3	League	U8	League	IRELAND	SPAIN
18:45	18:57	06-10-2025	JP1.1	League	u10	League	BRAZIL	ENGLAND
18:45	18:57	06-10-2025	JP1.3	League	u10	League	FRANCE	ITALY
18:45	18:57	06-10-2025	JP1.4	League	u10	League	IRELAND	SPAIN
18:45	18:57	06-10-2025	JP2.1	League	u14	League	ENGLAND	PORTUGAL
18:45	18:57	06-10-2025	JP2.2	League	u14	League	IRELAND	SPAIN
18:45	18:57	06-10-2025	JP2.3	League	u14	League	HOLLAND	GERMANY
18:45	18:57	06-10-2025	JP4.1	League	u12	League	BRAZIL	ENGLAND
18:45	18:57	06-10-2025	JP4.2	League	u12	League	FRANCE	ITALY
18:45	18:57	06-10-2025	JP4.3	League	u12	League	IRELAND	SPAIN
19:00	19:12	06-10-2025	JP1.2	League	U7	League	ARGENTINA	BRAZIL
19:00	19:12	06-10-2025	JP3.1	League	U8	League	HOLLAND	GERMANY
19:00	19:12	06-10-2025	JP3.2	League	U8	League	BRAZIL	ARGENTINA
19:00	19:12	06-10-2025	JP3.3	League	U8	League	FRANCE	PORTUGAL
19:00	19:12	06-10-2025	JP1.1	League	u10	League	HOLLAND	GERMANY
19:00	19:12	06-10-2025	JP1.3	League	u10	League	BRAZIL	ARGENTINA
19:00	19:12	06-10-2025	JP1.4	League	u10	League	FRANCE	PORTUGAL
19:00	19:12	06-10-2025	JP2.1	League	u14	League	ENGLAND	BRAZIL
19:00	19:12	06-10-2025	JP2.2	League	u14	League	PORTUGAL	ARGENTINA
19:00	19:12	06-10-2025	JP2.3	League	u14	League	IRELAND	HOLLAND
19:00	19:12	06-10-2025	JP4.1	League	u12	League	HOLLAND	GERMANY
19:00	19:12	06-10-2025	JP4.2	League	u12	League	BRAZIL	ARGENTINA
19:00	19:12	06-10-2025	JP4.3	League	u12	League	FRANCE	PORTUGAL
19:15	19:27	06-10-2025	JP1.2	League	U7	League	IRELAND	SPAIN
19:15	19:27	06-10-2025	JP3.1	League	U8	League	ITALY	ENGLAND
19:15	19:27	06-10-2025	JP3.2	League	U8	League	IRELAND	HOLLAND
19:15	19:27	06-10-2025	JP3.3	League	U8	League	BRAZIL	SPAIN
19:15	19:27	06-10-2025	JP1.1	League	u10	League	ITALY	ENGLAND
19:15	19:27	06-10-2025	JP1.3	League	u10	League	IRELAND	HOLLAND
19:15	19:27	06-10-2025	JP1.4	League	u10	League	BRAZIL	SPAIN
19:15	19:27	06-10-2025	JP2.1	League	u14	League	ENGLAND	SPAIN
19:15	19:27	06-10-2025	JP2.2	League	u14	League	PORTUGAL	GERMANY
19:15	19:27	06-10-2025	JP2.3	League	u14	League	ARGENTINA	BRAZIL
19:15	19:27	06-10-2025	JP4.1	League	u12	League	ITALY	ENGLAND
19:15	19:27	06-10-2025	JP4.2	League	u12	League	IRELAND	HOLLAND
19:15	19:27	06-10-2025	JP4.3	League	u12	League	BRAZIL	SPAIN
19:30	19:42	06-10-2025	JP1.2	League	U7	League	ARGENTINA	GERMANY
19:30	19:42	06-10-2025	JP3.1	League	U8	League	FRANCE	GERMANY
19:30	19:42	06-10-2025	JP3.2	League	U8	League	ITALY	ARGENTINA
19:30	19:42	06-10-2025	JP3.3	League	U8	League	ENGLAND	PORTUGAL
19:30	19:42	06-10-2025	JP1.1	League	u10	League	FRANCE	GERMANY
19:30	19:42	06-10-2025	JP1.3	League	u10	League	ITALY	ARGENTINA
19:30	19:42	06-10-2025	JP1.4	League	u10	League	ENGLAND	PORTUGAL
19:30	19:42	06-10-2025	JP2.1	League	u14	League	IRELAND	ENGLAND
19:30	19:42	06-10-2025	JP2.2	League	u14	League	PORTUGAL	HOLLAND
19:30	19:42	06-10-2025	JP2.3	League	u14	League	ARGENTINA	SPAIN
19:30	19:42	06-10-2025	JP4.1	League	u12	League	FRANCE	GERMANY
19:30	19:42	06-10-2025	JP4.2	League	u12	League	ITALY	ARGENTINA
19:30	19:42	06-10-2025	JP4.3	League	u12	League	ENGLAND	PORTUGAL
19:45	19:57	06-10-2025	JP1.2	League	U7	League	BRAZIL	HOLLAND
19:45	19:57	06-10-2025	JP3.1	League	U8	League	IRELAND	BRAZIL
19:45	19:57	06-10-2025	JP3.2	League	U8	League	FRANCE	HOLLAND
19:45	19:57	06-10-2025	JP3.3	League	U8	League	ITALY	SPAIN
19:45	19:57	06-10-2025	JP1.1	League	u10	League	IRELAND	BRAZIL
19:45	19:57	06-10-2025	JP1.3	League	u10	League	FRANCE	HOLLAND
19:45	19:57	06-10-2025	JP1.4	League	u10	League	ITALY	SPAIN
19:45	19:57	06-10-2025	JP2.1	League	u14	League	BRAZIL	GERMANY
19:45	19:57	06-10-2025	JP2.2	League	u14	League	IRELAND	PORTUGAL
19:45	19:57	06-10-2025	JP2.3	League	u14	League	ARGENTINA	ENGLAND
19:45	19:57	06-10-2025	JP4.1	League	u12	League	IRELAND	BRAZIL
19:45	19:57	06-10-2025	JP4.2	League	u12	League	FRANCE	HOLLAND
19:45	19:57	06-10-2025	JP4.3	League	u12	League	ITALY	SPAIN
20:00	20:12	06-10-2025	JP1.2	League	U7	League	IRELAND	ARGENTINA
20:00	20:12	06-10-2025	JP3.1	League	U8	League	ENGLAND	GERMANY
20:00	20:12	06-10-2025	JP3.2	League	U8	League	PORTUGAL	ARGENTINA
20:00	20:12	06-10-2025	JP3.3	League	U8	League	IRELAND	FRANCE
20:00	20:12	06-10-2025	JP1.1	League	u10	League	ENGLAND	GERMANY
20:00	20:12	06-10-2025	JP1.3	League	u10	League	PORTUGAL	ARGENTINA
20:00	20:12	06-10-2025	JP1.4	League	u10	League	IRELAND	FRANCE
20:00	20:12	06-10-2025	JP2.1	League	u14	League	BRAZIL	HOLLAND
20:00	20:12	06-10-2025	JP2.2	League	u14	League	GERMANY	SPAIN
20:00	20:12	06-10-2025	JP2.3	League	u14	League	IRELAND	ARGENTINA
20:00	20:12	06-10-2025	JP4.1	League	u12	League	ENGLAND	GERMANY
20:00	20:12	06-10-2025	JP4.2	League	u12	League	PORTUGAL	ARGENTINA
20:00	20:12	06-10-2025	JP4.3	League	u12	League	IRELAND	FRANCE
20:15	20:27	06-10-2025	JP1.2	League	U7	League	BRAZIL	SPAIN
20:15	20:27	06-10-2025	JP3.1	League	U8	League	ITALY	BRAZIL
20:15	20:27	06-10-2025	JP3.2	League	U8	League	ENGLAND	HOLLAND
20:15	20:27	06-10-2025	JP3.3	League	U8	League	PORTUGAL	SPAIN
20:15	20:27	06-10-2025	JP1.1	League	u10	League	ITALY	BRAZIL
20:15	20:27	06-10-2025	JP1.3	League	u10	League	ENGLAND	HOLLAND
20:15	20:27	06-10-2025	JP1.4	League	u10	League	PORTUGAL	SPAIN
20:15	20:27	06-10-2025	JP2.1	League	u14	League	BRAZIL	PORTUGAL
20:15	20:27	06-10-2025	JP2.2	League	u14	League	GERMANY	ENGLAND
20:15	20:27	06-10-2025	JP2.3	League	u14	League	SPAIN	HOLLAND
20:15	20:27	06-10-2025	JP4.1	League	u12	League	ITALY	BRAZIL
20:15	20:27	06-10-2025	JP4.2	League	u12	League	ENGLAND	HOLLAND
20:15	20:27	06-10-2025	JP4.3	League	u12	League	PORTUGAL	SPAIN
20:30	20:42	06-10-2025	JP2.1	League	u14	League	IRELAND	BRAZIL
20:30	20:42	06-10-2025	JP2.2	League	u14	League	GERMANY	ARGENTINA
20:30	20:42	06-10-2025	JP2.3	League	u14	League	SPAIN	PORTUGAL
20:45	20:57	06-10-2025	JP2.1	League	u14	League	HOLLAND	ENGLAND
18:30	18:42	06-12-2025	JP1.2	League	U7	League	HOLLAND	GERMANY
18:30	18:42	06-12-2025	JP3.1	League	U8	League	ARGENTINA	GERMANY
18:30	18:42	06-12-2025	JP3.2	League	U8	League	IRELAND	ITALY
18:30	18:42	06-12-2025	JP3.3	League	U8	League	ENGLAND	FRANCE
18:30	18:42	06-12-2025	JP1.1	League	u10	League	ARGENTINA	GERMANY
18:30	18:42	06-12-2025	JP1.3	League	u10	League	IRELAND	ITALY
18:30	18:42	06-12-2025	JP1.4	League	u10	League	ENGLAND	FRANCE
18:30	18:42	06-12-2025	JP2.1	League	u14	League	IRELAND	GERMANY
18:30	18:42	06-12-2025	JP2.2	League	u14	League	SPAIN	BRAZIL
18:30	18:42	06-12-2025	JP2.3	League	u14	League	HOLLAND	ARGENTINA
18:30	18:42	06-12-2025	JP4.1	League	u12	League	ARGENTINA	GERMANY
18:30	18:42	06-12-2025	JP4.2	League	u12	League	IRELAND	ITALY
18:30	18:42	06-12-2025	JP4.3	League	u12	League	ENGLAND	FRANCE
18:45	18:57	06-12-2025	JP1.2	League	U7	League	IRELAND	BRAZIL
18:45	18:57	06-12-2025	JP3.1	League	U8	League	PORTUGAL	BRAZIL
18:45	18:57	06-12-2025	JP3.2	League	U8	League	ARGENTINA	HOLLAND
18:45	18:57	06-12-2025	JP3.3	League	U8	League	GERMANY	SPAIN
18:45	18:57	06-12-2025	JP1.1	League	u10	League	PORTUGAL	BRAZIL
18:45	18:57	06-12-2025	JP1.3	League	u10	League	ARGENTINA	HOLLAND
18:45	18:57	06-12-2025	JP1.4	League	u10	League	GERMANY	SPAIN
18:45	18:57	06-12-2025	JP2.1	League	u14	League	ENGLAND	PORTUGAL
18:45	18:57	06-12-2025	JP2.2	League	u14	League	IRELAND	SPAIN
18:45	18:57	06-12-2025	JP2.3	League	u14	League	HOLLAND	GERMANY
18:45	18:57	06-12-2025	JP4.1	League	u12	League	PORTUGAL	BRAZIL
18:45	18:57	06-12-2025	JP4.2	League	u12	League	ARGENTINA	HOLLAND
18:45	18:57	06-12-2025	JP4.3	League	u12	League	GERMANY	SPAIN
19:00	19:12	06-12-2025	JP1.2	League	U7	League	HOLLAND	ARGENTINA
19:00	19:12	06-12-2025	JP3.1	League	U8	League	IRELAND	ENGLAND
19:00	19:12	06-12-2025	JP3.2	League	U8	League	PORTUGAL	ITALY
19:00	19:12	06-12-2025	JP3.3	League	U8	League	ARGENTINA	FRANCE
19:00	19:12	06-12-2025	JP1.1	League	u10	League	IRELAND	ENGLAND
19:00	19:12	06-12-2025	JP1.3	League	u10	League	PORTUGAL	ITALY
19:00	19:12	06-12-2025	JP1.4	League	u10	League	ARGENTINA	FRANCE
19:00	19:12	06-12-2025	JP2.1	League	u14	League	ENGLAND	BRAZIL
19:00	19:12	06-12-2025	JP2.2	League	u14	League	PORTUGAL	ARGENTINA
19:00	19:12	06-12-2025	JP2.3	League	u14	League	IRELAND	HOLLAND
19:00	19:12	06-12-2025	JP4.1	League	u12	League	IRELAND	ENGLAND
19:00	19:12	06-12-2025	JP4.2	League	u12	League	PORTUGAL	ITALY
19:00	19:12	06-12-2025	JP4.3	League	u12	League	ARGENTINA	FRANCE
19:15	19:27	06-12-2025	JP1.2	League	U7	League	GERMANY	SPAIN
19:15	19:27	06-12-2025	JP3.1	League	U8	League	GERMANY	BRAZIL
19:15	19:27	06-12-2025	JP3.2	League	U8	League	SPAIN	HOLLAND
19:15	19:27	06-12-2025	JP3.3	League	U8	League	IRELAND	PORTUGAL
19:15	19:27	06-12-2025	JP1.1	League	u10	League	GERMANY	BRAZIL
19:15	19:27	06-12-2025	JP1.3	League	u10	League	SPAIN	HOLLAND
19:15	19:27	06-12-2025	JP1.4	League	u10	League	IRELAND	PORTUGAL
19:15	19:27	06-12-2025	JP2.1	League	u14	League	ENGLAND	SPAIN
19:15	19:27	06-12-2025	JP2.2	League	u14	League	PORTUGAL	GERMANY
19:15	19:27	06-12-2025	JP2.3	League	u14	League	ARGENTINA	BRAZIL
19:15	19:27	06-12-2025	JP4.1	League	u12	League	GERMANY	BRAZIL
19:15	19:27	06-12-2025	JP4.2	League	u12	League	SPAIN	HOLLAND
19:15	19:27	06-12-2025	JP4.3	League	u12	League	IRELAND	PORTUGAL
19:30	19:42	06-12-2025	JP1.2	League	U7	League	IRELAND	HOLLAND
19:30	19:42	06-12-2025	JP3.1	League	U8	League	ARGENTINA	ENGLAND
19:30	19:42	06-12-2025	JP3.2	League	U8	League	GERMANY	ITALY
19:30	19:42	06-12-2025	JP3.3	League	U8	League	SPAIN	FRANCE
19:30	19:42	06-12-2025	JP1.1	League	u10	League	ARGENTINA	ENGLAND
19:30	19:42	06-12-2025	JP1.3	League	u10	League	GERMANY	ITALY
19:30	19:42	06-12-2025	JP1.4	League	u10	League	SPAIN	FRANCE
19:30	19:42	06-12-2025	JP2.1	League	u14	League	IRELAND	ENGLAND
19:30	19:42	06-12-2025	JP2.2	League	u14	League	PORTUGAL	HOLLAND
19:30	19:42	06-12-2025	JP2.3	League	u14	League	ARGENTINA	SPAIN
19:30	19:42	06-12-2025	JP4.1	League	u12	League	ARGENTINA	ENGLAND
19:30	19:42	06-12-2025	JP4.2	League	u12	League	GERMANY	ITALY
19:30	19:42	06-12-2025	JP4.3	League	u12	League	SPAIN	FRANCE
19:45	19:57	06-12-2025	JP1.2	League	U7	League	GERMANY	BRAZIL
19:45	19:57	06-12-2025	JP3.1	League	U8	League	HOLLAND	BRAZIL
19:45	19:57	06-12-2025	JP3.2	League	U8	League	IRELAND	ARGENTINA
19:45	19:57	06-12-2025	JP3.3	League	U8	League	GERMANY	PORTUGAL
19:45	19:57	06-12-2025	JP1.1	League	u10	League	HOLLAND	BRAZIL
19:45	19:57	06-12-2025	JP1.3	League	u10	League	IRELAND	ARGENTINA
19:45	19:57	06-12-2025	JP1.4	League	u10	League	GERMANY	PORTUGAL
19:45	19:57	06-12-2025	JP2.1	League	u14	League	BRAZIL	GERMANY
19:45	19:57	06-12-2025	JP2.2	League	u14	League	IRELAND	PORTUGAL
19:45	19:57	06-12-2025	JP2.3	League	u14	League	ARGENTINA	ENGLAND
19:45	19:57	06-12-2025	JP4.1	League	u12	League	HOLLAND	BRAZIL
19:45	19:57	06-12-2025	JP4.2	League	u12	League	IRELAND	ARGENTINA
19:45	19:57	06-12-2025	JP4.3	League	u12	League	GERMANY	PORTUGAL
20:00	20:12	06-12-2025	JP1.2	League	U7	League	SPAIN	ARGENTINA
20:00	20:12	06-12-2025	JP3.1	League	U8	League	SPAIN	ENGLAND
20:00	20:12	06-12-2025	JP3.2	League	U8	League	HOLLAND	ITALY
20:00	20:12	06-12-2025	JP3.3	League	U8	League	BRAZIL	FRANCE
20:00	20:12	06-12-2025	JP1.1	League	u10	League	SPAIN	ENGLAND
20:00	20:12	06-12-2025	JP1.3	League	u10	League	HOLLAND	ITALY
20:00	20:12	06-12-2025	JP1.4	League	u10	League	BRAZIL	FRANCE
20:00	20:12	06-12-2025	JP2.1	League	u14	League	BRAZIL	HOLLAND
20:00	20:12	06-12-2025	JP2.2	League	u14	League	GERMANY	SPAIN
20:00	20:12	06-12-2025	JP2.3	League	u14	League	IRELAND	ARGENTINA
20:00	20:12	06-12-2025	JP4.1	League	u12	League	SPAIN	ENGLAND
20:00	20:12	06-12-2025	JP4.2	League	u12	League	HOLLAND	ITALY
20:00	20:12	06-12-2025	JP4.3	League	u12	League	BRAZIL	FRANCE
20:15	20:27	06-12-2025	JP2.1	League	u14	League	BRAZIL	PORTUGAL
20:15	20:27	06-12-2025	JP2.2	League	u14	League	GERMANY	ENGLAND
20:15	20:27	06-12-2025	JP2.3	League	u14	League	SPAIN	HOLLAND
20:30	20:42	06-12-2025	JP2.1	League	u14	League	IRELAND	BRAZIL
20:30	20:42	06-12-2025	JP2.2	League	u14	League	GERMANY	ARGENTINA
20:30	20:42	06-12-2025	JP2.3	League	u14	League	SPAIN	PORTUGAL
20:45	20:57	06-12-2025	JP2.1	League	u14	League	HOLLAND	ENGLAND